CodemixedText,HateorNot,text_length,matched_words,has_profanity,total_severity,Rule_Hate
dont hate you nanhi si jaan aur ek tu woh b,0,43,[],0,0,0
mujhe to dono se hi nafrat he par bjp se mujhe itni nafrat he zindagi me ise vote nhi dunga kyonki ye party vote ke laayak hi nhi he,1,132,[],0,0,0
ye shocked h kya lat padi h ise arshi se jabardastor khana khayegi n zillat ke laddu salman ne bhijwa diye,0,106,[],0,0,0
haha farzi hatred spreading moron blocked me,0,44,[],0,0,0
ye vidya salman se bhut bdi celebrity h,0,39,[],0,0,0
ajkaal to usse achcha kaha jata hai jo dr ahmed ya tarek fatah jaise mahapurusoko dil wo jaan se mante haiye nafrat pahelane log apke guru ho sakte mera nahimere liye vivekanand jaise sakshiat jo kahete the hindu ya muslim her indians are my brother,0,249,[],0,0,0
as a akshra i hate hina khan but jaise hi usne is ghar m apne aap ko dikhaya hai i respct her bhai kitna bhi galti karlo bandi apne aapko sahi proof kar deti hai waah or jinko footage chaea wo hina hina karte rahte hai hina kis kis ko palegi show mapni image banao sab,1,268,[],0,0,0
salman bahut bda chutiya h sirf shilpa ka side leta h kaaaminaaaaphone pe bhe shilpa se baat kia chutiya i hate this biased show abe dhang se host kr isbar unfair,1,162,"['chutiya', 'chutiya']",1,10,1
aayega jab take alia ki shaadi age pass aayegi kyuki alia said ki hoote hi won shaadi kargi varun bhi kitna kutta hai natasha ka shaadi ka spna this alia ke saath shaadi ki baat paaki kar ki hate varun alia sid please career pe focus karo aue alia ke banner se film mat karo,1,274,['kutta'],1,2,0
mahajiron se kisi ko bhe nafrat nahe haimostly log mohajiron ki tragedy ko samjhte hainaur but altaf husain ne qatal o gharatkar ke mohajir cause ko badnaam kar dia hai,0,168,[],0,0,0
haan hm tilak dekr chhod dete hain jalate nahin hain orton ko ya kisi baba ko rape krne ke liye nahin dete hain,0,111,[],0,0,0
pata nahi log kyun rape karte he farziwal ke sarkar me har km par spa khula he aap bhi add kar do rape kam hi jayenge,0,117,[],0,0,0
ye kasisi sacchai hai rss wale bomb banate hai aur media raafiya naaz ko lekar muslmano ke khilaf zaher ugalta hai kub tak aisa chalega,1,135,[],0,0,0
apne personal hatred k liye srk ka nam badnam kr rhe hai chutiyebhakts ko support kaise kr sakta hai koi lolll,0,110,[],0,0,0
red sy kyunky red tumhe meray khoon ki yaad dilay ga,0,52,[],0,0,0
is ghar main apko jis insan se nafrat ho samjh lo wo insan nafrat ke layak nahi hai balki izzat ke layak hai or jisko dekhke izzat ka dil kare samjh lo wo bahrupiya hai ye is ghar ki khasiyat hai people are realsapna akash or hinabaki sab fake or banwti hai,0,257,[],0,0,0
ek ara ke bjp ke jila mahamantri shdhirendra singh se sare aam road chaap leader surendra singh or uske bodyguard rinku singh murder karne ke udeshye se aa kar maarvkar chala jata hai or hamari bjp ke karya karta aise hi baithe haikal ye ghatna aap or hum,0,255,[],0,0,0
pichle month se jio ka net ks se jyada jata bhi nahi hai kuch bhi online dekhe to buffering ke bina sambhav hi nahi hai,0,119,[],0,0,0
g bolkar g ka speed mil raha hai ye sara sar dokha hai i hate jio,1,65,[],0,0,0
tujhe murder kar dungi main,1,27,[],0,0,0
i hate weddings ye madrchod log ghante se ghar k niche dhol baja rhe h,1,70,[],0,0,0
haan khuch log to twtr se v murder kr shakte hain apni ghatiya tweets se aayi,0,77,[],0,0,0
humidity ka kam tu mat kar rape hua he bhi ki ni case jhut hote he fashion ban gaya he ye fasal mota kamao tum chutya media ki vajah se,0,135,[],0,0,0
hina apni galti manane ko tayar hi nahi hotiwo hai kya ki usko itna ghamand haisabko bolti hai ye mera class nahifake ladyarshi bahut acchi hai is heena sei hate her,1,165,[],0,0,0
jis par nitiyo he wahi janta he ye media bhenchod rape rape chillata he sach kutch or hota he isiliyearopi ladki jhute fasa deti he forg,1,136,[],0,0,0
chatukarta ke baare me to maine suna hai bjp ne ab tak ke saare record tor diye lab ke ab to pehchaan hi yahi hai doosri buri zubaan gaaliyan aur sachchayee imaandaari aur aqal se nafrat,0,186,[],0,0,0
saheb salkyabhutta bun rahe tha or kabhi cort nahi gaye ho pahle pata karo rape ke case forge hote he tum jaise media kanon banwaya,0,131,[],0,0,0
lol true kuy ki uski jo awwam haina jo is duniya se bhaar jaha se jaadu aaya tha vha ke log aise krte hai aur khud buddhi hai aur dusro ko bolti kitna makeup krti hai khud asli pic dekh legi na jiss deen khud se nafrat krne lagi arshi,1,234,[],0,0,0
mere aria me jio ka speed ks se jyada milta hi nahi hai aisa sambhav hi nahi hai ki bina buffering ka koi video online dekh le,0,126,[],0,0,0
g ke naam par g mil raha kai,0,28,[],0,0,0
aisa hi raha to recharge samapt hone ke baad jio chor kar kisi aur me chale jayege,0,82,[],0,0,0
sanitary napkin bhi sasti ho gayi pahan le bahut khoon fek raha tum logo ki dukan se,0,84,[],0,0,0
aaj to salman bhi chupke se bol gaye k i hate hina and agree with fir bhi hina k andhe bhakto ko dhik nhi raha,0,110,[],0,0,0
sabhi jagah to media wale nafrat or jhgde to faila hi rhe hai ab logo k ghar me v suru ho gye,0,93,[],0,0,0
saal punjab ki awam ka khoon choosnay walay sharif brothers aaj tak saverage ka nizam theak nai kar sakay,0,105,[],0,0,0
ko main dekhna or soonna pasand nahi karta i hate,1,49,[],0,0,0
tujhe nafrat hoti hai na pando se tu bhi pandi hi hai ek kaam kr ek baap ki aulaad hai to ek dalit se shadi krio dekhte hain ki tujhe sirf yahan publicity chahiye ya tu sacchi h mai ek dalit se pyar krta hu aur shadi bhi krunga usise,1,233,[],0,0,0
whats wrong with sapna samjhti kya hai after hina i hate her kitna attitude hai karna kuch nahi hai bas bakwas karni hai,1,120,[],0,0,0
har election ke pahiley janta ke samne kuch tukde fenk diye hate hain,0,69,[],0,0,0
mera khoon khaula tha q ki wo movie boycott khan ki wajah se hui thi aur ye rajpoot ki wajah se,1,95,[],0,0,0
i hate this sapna so much itna ghamand kisliye bhai,1,51,[],0,0,0
bhai ji aap ko kya karna hai birthday manaye ya nhi manayeaap apna kaam theek se toh karna sheekhojhut or jumlaa aap k khoon mai hai,0,132,[],0,0,0
hina ne shilpa ji ko kitna acha bola hai ki humare profession main makeup lagana padta hai aapki aadat chhoot gayi hogi,0,119,[],0,0,0
padmavati ka dusra khoon sunkar kano se khoon nikalne waala aur deepika ko dekhte hi vomiting koi itni ugly kesi dikh sakti hai bhai,0,132,[],0,0,0
arshe jaisii gandi tho nahi hai hinawe love hina we hate arshi n akash,1,70,['gandi'],1,3,0
punjabion ne punjabion ko maara isliye nahi jataya aap ne kisi ne nahin kaha tha apne hi zaat paat muhallay ki aurton ka rape karo kisi ne nahin kaha tha aik doosre ke talwaaron se shaheed kar do ab is main koi aur kia kare jo punjabion ne khud aik doosre ke saath kia,0,268,[],0,0,0
bhai wo hate story ki stages hoti hn,0,36,[],0,0,0
bohat hi fazool college se sakht nafrat hai mujhe th ki chuttiyan wapis la do,1,77,[],0,0,0
ne srk ko attitude dikhaya tha,0,30,[],0,0,0
better hai sab milke kuch accha socho acchi sarkar yuva sarkar banao kuch progress karo milke jisse desh ki taraqqi ho,0,118,[],0,0,0
bhai movie nai dekhi par sanjay leela ko jaante hai aapko agar pata hota kei ye saab raajput se nafrat kyu krte hai or ek baar nai ye apni kai filmo me raajput o ko nicha dikhane ka koi moka nai chodte to aap ye bakwaas nai krte,0,228,[],0,0,0
lol maine pura thread kiya tha wo dekha nai karma is real,0,57,[],0,0,0
lekin tum sab log personal hate ki wajah se chutiyapa karte ho,0,62,['chutiyapa'],1,8,1
se cancer k mareez k elaj karwane lahor jane wale mutadid sheri panjab poliec k hate chad gai,0,93,[],0,0,0
mai bahut respect kar tha ko dilwale k phele tak jab usne ka tweet dala tabse aj tak hate h hate krta hun aur karta rahunga kismat badi kutti cheez hai saali kabhi bhi palat jaati hai kabhi nhi bholunga jab tak h jan,0,216,['kutti'],1,2,0
ye deekho ek aur farzi rashtravadi isko muslims ka cencus yaad hoga aur pure world ka history bata dega islam majority terrorism non secular yahi samjayega hindu bachao yahi chilayega hahaha,0,190,[],0,0,0
koii school ka imtihaan nhi,0,27,[],0,0,0
fir bhi hindu terrorism secular logonko najar ata hai aur yoga me communalism safronisation unka yoga virodh hindu virodh nahi secularism shanti sandesh samazna chahiye,0,168,[],0,0,0
ravish sachcha suchcha journalist hai aur bjp ko sachche imaandaari aur budhdhijeevi intelligent aur achhe logon se nafrat hai extra ordinary loud voice aur zehreele shabd istemaal karengehar waqt gussie me rahengeye kya sanskaarlarisa culture haibure log buri soc,0,264,[],0,0,0
oooo hello jo bhi serial dekhke hina ke fan the wo sab log aaj hina ho hate karne lage he log ab samaj lo tum hin salmanji ne bhi aaj hina ki bajai lagta he dekha nahi he kutti he hina,0,184,['kutti'],1,2,0
tum ne dekha ho ga k kanta lagny per log phool ko b phenk dety hain love u,0,74,[],0,0,0
ham likhte hi aisa hai ki khoon garam ho jaae khikhikhi khair yah bas mera imagination hai as a writer baaki om raut ne apna likha hoga kuch alag,0,145,[],0,0,0
bhai isko idhar chod aur nikaliska movie aane detab dekhta hoo iskosaale sab milke hate trend karre haigod bless them,1,117,['chod'],1,7,1
ram ko kalpanik bolne wala aur ye kehne wala ki jo mandir jaate hai wo ladkiya chedte hai aisa kutta ab temple run khel raha hai,0,128,['kutta'],1,2,0
ye to hinduo se nafrat karta hai nafir mandir k dhakke kyuisse astha se koi mtlb nahi elections se hai,0,102,[],0,0,0
achchha indian hindu n achchha indian muslim kabhi bhi ekdusre ke liye dil me nafrat nahi rakhtasir aap aise comments ko ignore karein pls,0,138,[],0,0,0
hina such a diplomatic drama queenkhud aag lagati hai baad me dusro ka naam leti haihate u,1,90,[],0,0,0
koi tiger ka khoon kar do humari nhi to kisi ki nahi,0,52,[],0,0,0
jiska khoon ek movie free mein dekhne ke liye ufaan maare wo rajput,0,67,[],0,0,0
jo bina zyaada load liye movie dekhne jaae wo moviegoer,0,55,[],0,0,0
jo twitter pe support boycott ka trend kare wo chutiye,0,54,[],0,0,0
hina khan ek murder bhi kar degi toh bolegi maine use jaan lene ke liye nahi maara aise hi goli chalakar dekh rahi thi uspe,0,123,[],0,0,0
sir humare rajput bhai ka khoon,0,31,[],0,0,0
sir humare rajput bhai ka khoon ufaan maar raha hai kuch ho sakta hai kya pictwittercomwfsqwnuh,0,95,[],0,0,0
ise dekh kar jiska khoon na khole or wo cheepikians ko support kare to wo chutiya,0,81,['chutiya'],1,5,1
india wale sab arshi ko hate karte h,0,36,[],0,0,0
dil sambhal ja zara phir mohabbat karne chala hai tu murder,0,59,[],0,0,0
hate them sare marks yahin jate hain bc kisi ko kuch nahi ata,0,61,['bc'],1,10,1
yaar i hate bigg boss par aaj maine kapil sir ke liye bigg boss dekha per kapil sir to aaye hi nahi,1,99,[],0,0,0
hate ya na hate abdullah india me hoke v pok pakistan ka batate hai aur tere jese kodi ki congi chudail wahi kahegi jo congress karti ayi hai tujhe v lagta hai halala ki aadat pad gyi hai islie esa bol rhi hai,0,209,[],0,0,0
koi rape kar raha ho aur tum dekhte raho toh tum bhi gunhegar ho,0,64,[],0,0,0
to bhai muhabbat konsa dsp lagwa deti ha,0,40,[],0,0,0
i hate ppl wen dey call him bhai jabki vo feeling hoti hi nahi hai,0,66,[],0,0,0
desh me kitna hatred felaoge sir ji,0,35,[],0,0,0
mulle sirf terrorism ko invent karne ke liye jeet sakte hai,0,59,[],0,0,0
is mc ko bharat mein la kar phansi dena hai kya kar rhi bjp sarkar parliament mein phle pakistan ko atankwadi desh to ghosit kare e,0,131,"['mc', 'atankwadi']",1,14,1
suadie kings apne badshat bachane k liye kisi ko be ne chora,0,60,[],0,0,0
muslamno ko mecca aur madina k nam pe cash karwata raha,0,55,[],0,0,0
aajkal thodi bahut nafrat si ho gai hai aapse d way u blacked heena khan,1,72,[],0,0,0
hatred for all mendosti hai dushmani to nahin,0,45,[],0,0,0
i also hate her mc bhut ghamandi hai srk ko thanks tak ni bola,1,62,['mc'],1,10,1
varun khan ulti ganga hate speech,0,33,[],0,0,0
bhakts hamesha srk ko target krte hai,0,37,[],0,0,0
hate deepika k liye hai,0,23,[],0,0,0
tag block bhakt ka real srk haters,0,34,[],0,0,0
btw movie apne ko dekhna nhi hai,0,32,[],0,0,0
badi ummide lagaye bethe hai apni maa ke murder ke khulase kahamare ander bhay hai thana fatehpur sikri ke imlaoda gaon ki daqeti murder ka,0,139,[],0,0,0
toilet ghotala sri jan ghotala bandh ghotala aur murder ka aarop wah re tera surya paltua ko sharm bhi aata hai ki nahi,0,119,[],0,0,0
ma khata ho article ka tahat is bat pa muzamil abbas tara ko bar phansi ke saza honi chayegali gali ma shooor ha aia sara chorrrr ha,0,132,[],0,0,0
thank you gud nightmere kaan se khoon nikal raha hai,0,52,[],0,0,0
islamic terror faila rakha ha india me inhone,0,45,[],0,0,0
muje kabhi yaqin nahi asakta tumhari baat pe k u like puneeshisliye kyun karun nafrat jb tum keh hi jhoot rahi ho,0,113,[],0,0,0
tumre yaha aise khule aamm murder hote hai kya,0,46,[],0,0,0
kisi kay baap ka yeh pakistan thori hay,0,39,[],0,0,0
are iski baat ur gadhe ki laat ek jesi h roj palti marti hiska koi bharosa nhii hate her to much roj gand nikalti h shilpa k liyeise bas hina pasand h,1,150,[],0,0,0
kabhi nahi jhoot sunn kar kaan may se khoon nikla vote for shilpa,0,65,[],0,0,0
yeh talent main b hota hai,0,26,[],0,0,0
chalo koi toh hai jo sacchai dekh sakta haiwarna baqi toh andhe ho chuke hai nafrat mekoi hater galat video bana k bhej raha hai aur yeh log pura such jane bagair uchal rahe hain pagal log,0,188,[],0,0,0
bandagi k aankhu se khun k aansu kya aankh phod k khun hi nikal do i hate this bitch,1,84,[],0,0,0
ek chehra dil ke kareeb melodious song lata garam khoon vinod khanna sulakshana pandit,0,86,[],0,0,0
i hate shilpaye jo dikhti hain na woo nahi hainevery time simpathi leti hain salman khan se,1,91,[],0,0,0
sir lekin jo log rajput nahin hain to unka khoon dhanda hota hai,0,64,[],0,0,0
tu jaha mai waha starring vinod khanna sulakshana pandit movie garam khoon,0,74,[],0,0,0
yaar hadd ho gayi karan bua ki iski subah saam hina ke comments pe hoti hai aur baat kaisi karta hai hina ko koi fark nahi padta aur tu apna khoon jalan raha hai aur aam janta see gaali bhi khaa raha hai hadd hai,0,212,[],0,0,0
jab pappu khan saffron terrorism bolta hai tab hinduoo ka apman nahi hota hai chee papu khan kay pidi,0,101,[],0,0,0
ghatiya gandagi gairgujri gulchharrey udaney walo hatred pungi,0,62,[],0,0,0
good job magar dindharai rape murder jo ho raha hai bihar mai usko bhee dhayan rakhai aap twitter par pheknai sai kuch na hoga saheb crimes par control karai,0,157,[],0,0,0
ek khooni liberal ki ek buhat baray leader say moaddabana guzarish aap liberals pe toh baras paray magar aap ke khoon kay piasay khadim rizvi aur afzal qadri say aap nay kufr kay fatway kay dar say is saal kay shoro main maafi maangli thi,0,238,[],0,0,0
isse kehte hain aandh bhakti hate for shilpa shindey,0,52,[],0,0,0
jo dharam ko chhupaye vo socho kya bhala kr skta h kisi katbhi m socha ye saffron terror kyon kah rha h aaj itna pyar saffron se gandhi nhi gndi nali ki paidaish h,0,163,[],0,0,0
thank you so much for this hater ka aur kio kaam nahin hain hina ke liye itna hate hain ke aankhen band kar ke dekhte hain,0,122,[],0,0,0
tum logo ko dete hunge paise tum logo ko humare mulk k baato me kyu itna interest hai ohh samajh gaya tum logo k mulk me ab kuch baat karne reh he nahi gaya hoga sab kuch terrorism se he shuru aur nahi khatm,0,207,[],0,0,0
why you guy have so me hate rate for someone kuch din ka biggboss hai khatam ho jaiga pr ap logo k dil me apni jaga mat khoiye or hina jo bhi or jaha se bhi aye hai pr ap kon ho,0,177,[],0,0,0
yukh hate atay jaisay chitti larki,0,34,[],0,0,0
arshi khan ko add q nai kia apni hatred mai,0,43,[],0,0,0
is conversation mai wo bi ti,0,28,[],0,0,0
sub kai apnay point of view,0,27,[],0,0,0
but haters bicharay andhay,0,26,[],0,0,0
toh vikas ke samne when someone said kali where is he vikas bhi boht galt hai kuch chizo mein aur shilpa ka bhi ab woh pehle wala roop nikal raha hai because uske arshi aur akash ne darar dikh rahi hai aaj na shilpa gandagi aur puneesh mein se nafrat contin,0,257,['kali'],1,5,1
gale dena achi bat nahi agar ye sab khatam karna hai to ko vot karo ye sab khud ba khud khatam ho jayega,0,104,[],0,0,0
mam apne aaj bola sahi bola but vikas bhi maze le raha tha waise toh ladki ko moti bola usko bada problem ho raha tha aur sab gandagi ne kiya hai but shilpa ne bhi uski bhadas nikali hai sabpe uska hatred aur uske sath jo bahr hua hai that has made shilpa,0,255,[],0,0,0
aaj ka ep dekh k sahi me itna he khoon khol rha thajis tarah se janwaro ki trh punish ne trimmer chalaya luv ko luckily khoon ni ayahina n akash k sath jo kia insaniyat h he ni kya shilpa punish vikas bandagi me,0,211,[],0,0,0
bad politics ek hindu bhai dusre hindu bhai ka khoon pene k liye taiyar hogaya he,0,81,[],0,0,0
abhi bhe time he sab sudar jao,0,30,[],0,0,0
aapke paas koi kaam nahi he pura din yahi sochte ho ki hina k against kya tweet karu aaj aap kisi mitti k bane ho insaaniyat bhi nahi he aapme really muje regret hota he ki me kabhi aapka fan tha now i hate u karan aap to patel kahne k laayak bhi nahi,1,251,[],0,0,0
bda chhuparustam nikla re rahul baba ise kahte h deeye niche andhera desh ko dhoka aankho me dhul jhonk rha thha aaj pta chla ye saffron terror kyon kahta firta h dhokhebaj h aaul baba,0,184,[],0,0,0
khan muje regret hota he ki mene season me aapke liye votes kiye the aur aapka fan tha but ab to aapne saari ijjat gava di ki ek hina k piche padi rehti ho aapke paas koi kaam nahi he kya pura dina hina k against tweet k bareme hi sochta ho i hate u gauhar,1,256,[],0,0,0
hate u arshi khan hindustan ki awam dekh rahi hai dushman se dosti tumhariye game hai ya pyar,1,93,[],0,0,0
gauahar k fb pe hina se kam followers hain sahi toh hai logo sach batana achha lagta hai sun na nahi koi gali toh nahi di na kuchh bewkoof aise react kar rahe hain jaise murder kar diya ho agar hina inki chaplusi karti toh achha bolte,0,234,[],0,0,0
i hate u kamya muje regret hota he ki me kabhi aapka fan tha aapko insaaniyat naam ki koi chij hi nahi he aapne i hate u kamya,1,126,[],0,0,0
rishta likhenge hum naya chotti thakurains chakarvyuh earns ratans hatred,0,73,[],0,0,0
aaj kal khoon rare aata hai due to unhealthy diet,0,49,[],0,0,0
jish movie ki story rape viktim girl ki hokya ek viktim ko sexy bolna shi haiye log simple name rakh skte the,0,109,[],0,0,0
but inko aise naam rakh kar controversy create kark film ki free publicity karwana tha,0,86,[],0,0,0
vivad hone pr freedom of speech khatre mein aa jata hai,0,55,[],0,0,0
we are showing we really kya baat kar rahe ho aanshu aagaye yaar koi itna hatred kaise laa sakta hai,0,100,[],0,0,0
main kon se sachye sa baagi app ek pic laga k khud tabsra ker rahy ho main ki koi laga doon ore khoon tum ya ker rahy thy hahahah lol kia mazaq ha pictwittercomlwjknxrktq,0,170,[],0,0,0
ajj mujhe puneesh aur bandgi ko dekha kar itna zadya gussa aa rha tha ki kaise log hai yeh mujhe iss season k sabse worst constants mil gye,0,139,[],0,0,0
wese bhi ye sanghi hijde shadi se zyada rape main vishwas rakhte to teri maa ki sari khol kar dekh khaki chadhhi pehni hogi lol hijde chakke,0,140,[],0,0,0
kal uski behn bati rape hogi,0,28,[],0,0,0
tab bhi love jihad avivyakti ki azadi ban jana chache,0,53,[],0,0,0
to khul ke bole pyar hai nafrat nhi game kiu khel raha hai,0,58,[],0,0,0
logon ko phansi lag jae to corruption khatam hojae gi sheikh rasheed,0,68,[],0,0,0
kaun h vo log jo hina akash or luv ko vote kr rhe hdil khi kho diya kya nafrat bdi cheez h,0,90,[],0,0,0
ek bar fair hokr vote ni kr skte insaniyat ki hade par ho gai aaj,0,65,[],0,0,0
madam aap ka chinta karna bilkul jayaj h aap ke pati ek bahdur or nidar insan h biswas rakhiye sir to bahut door ki baat h koi haat bhi nhi laga sakta h phir aap bhi to ek hindu viragna ho rani laxmibai rani durgabatti inka or aap ka khoon ek hi haap apne pati ki sakti ho,0,272,[],0,0,0
hate u sooooooooooooo muuuuuuuuuuchhhhhh big boss gandgi faila rkhi h bndgi punish ne unhe kuchh nhi khoge hina pr chd jaoge,1,124,[],0,0,0
kamya english sikha rahi hate failane k sath sath,0,49,[],0,0,0
i hate heen khaan ye video maine abhi dekha kuch galat nahi bolla usne kun itna bada issue bana rahe ho sab sach baat bol rahi hai wo jo hum aur aap bhi bolte hai heena ke hater hone ka matlab ye nahi ki kisi bhi baat ka issue banao,1,232,[],0,0,0
pm ki post ki izzat krte hai isliye gaali nhi di mgr jo pm ki post pr hai wo khoon choos raja hai desh ka or ap jese log uska sath de rahe hai,0,142,['choos'],1,5,1
hina ki team aisi hi hai kewal nafrat hi rakhti haimanu bhai,0,60,[],0,0,0
aaj hina ki baari aayi to apne time pe rone lgi public se appl karne lgi,0,72,[],0,0,0
puri fake hai,0,13,[],0,0,0
i hate pungi for doing what they did with luv and akash but hina ne ankhon main mirch daali hai and usne baal bhi kaate hai,1,123,[],0,0,0
poora india yahi soch raha hai bro ki jhooti ko tv industry se laye hai ki dusre planet se hate her,1,99,[],0,0,0
akash aur luv ke saath to boht galat kiya but hina ke saath wohi kiya jo usne kiya the thats why i hate pungi,1,109,[],0,0,0
hina khan chalak aur dhokebaaj lomdi hai mai aaj ke task mein hoti toh uska ka nak katke use shurpanakha banati i just hate her,1,127,[],0,0,0
she hate punish and bandagi iss liye aur madam bolati h unbiased hu,0,67,[],0,0,0
